date_pollutant_added,date_experiment,replicate_number,part_hidden,treatment,percentile,time_min,copepod_count,proportion
11/9/2021,11/9/2021,1,bottom,control,75-100,0,6,0.06
11/9/2021,11/9/2021,1,bottom,control,50-75,0,3,0.03
11/9/2021,11/9/2021,1,bottom,env_rel,75-100,0,4,0.04
11/9/2021,11/9/2021,1,bottom,env_rel,50-75,0,7,0.07
11/9/2021,11/9/2021,1,bottom,high,75-100,0,27,0.27
11/9/2021,11/9/2021,1,bottom,high,50-75,0,16,0.16
11/9/2021,11/9/2021,1,bottom,control,75-100,5,17,0.17
11/9/2021,11/9/2021,1,bottom,control,50-75,5,4,0.04
11/9/2021,11/9/2021,1,bottom,env_rel,75-100,5,7,0.07
11/9/2021,11/9/2021,1,bottom,env_rel,50-75,5,1,0.01
11/9/2021,11/9/2021,1,bottom,high,75-100,5,28,0.28
11/9/2021,11/9/2021,1,bottom,high,50-75,5,9,0.09
11/9/2021,11/9/2021,1,bottom,control,75-100,10,6,0.06
11/9/2021,11/9/2021,1,bottom,control,50-75,10,4,0.04
11/9/2021,11/9/2021,1,bottom,env_rel,75-100,10,6,0.06
11/9/2021,11/9/2021,1,bottom,env_rel,50-75,10,1,0.01
11/9/2021,11/9/2021,1,bottom,high,75-100,10,37,0.37
11/9/2021,11/9/2021,1,bottom,high,50-75,10,10,0.1
11/9/2021,11/9/2021,1,bottom,control,75-100,15,7,0.07
11/9/2021,11/9/2021,1,bottom,control,50-75,15,2,0.02
11/9/2021,11/9/2021,1,bottom,env_rel,75-100,15,6,0.06
11/9/2021,11/9/2021,1,bottom,env_rel,50-75,15,4,0.04
11/9/2021,11/9/2021,1,bottom,high,75-100,15,28,0.28
11/9/2021,11/9/2021,1,bottom,high,50-75,15,5,0.05
11/9/2021,11/9/2021,1,bottom,control,75-100,20,7,0.07
11/9/2021,11/9/2021,1,bottom,control,50-75,20,2,0.02
11/9/2021,11/9/2021,1,bottom,env_rel,75-100,20,3,0.03
11/9/2021,11/9/2021,1,bottom,env_rel,50-75,20,2,0.02
11/9/2021,11/9/2021,1,bottom,high,75-100,20,24,0.24
11/9/2021,11/9/2021,1,bottom,high,50-75,20,8,0.08
11/9/2021,11/9/2021,1,bottom,control,75-100,25,6,0.06
11/9/2021,11/9/2021,1,bottom,control,50-75,25,4,0.04
11/9/2021,11/9/2021,1,bottom,env_rel,75-100,25,5,0.05
11/9/2021,11/9/2021,1,bottom,env_rel,50-75,25,4,0.04
11/9/2021,11/9/2021,1,bottom,high,75-100,25,29,0.29
11/9/2021,11/9/2021,1,bottom,high,50-75,25,5,0.05
11/9/2021,11/9/2021,1,bottom,control,75-100,30,6,0.06
11/9/2021,11/9/2021,1,bottom,control,50-75,30,1,0.01
11/9/2021,11/9/2021,1,bottom,env_rel,75-100,30,1,0.01
11/9/2021,11/9/2021,1,bottom,env_rel,50-75,30,2,0.02
11/9/2021,11/9/2021,1,bottom,high,75-100,30,26,0.26
11/9/2021,11/9/2021,1,bottom,high,50-75,30,8,0.08
11/9/2021,11/9/2021,2,bottom,control,75-100,0,22,0.22
11/9/2021,11/9/2021,2,bottom,control,50-75,0,14,0.14
11/9/2021,11/9/2021,2,bottom,env_rel,75-100,0,20,0.2
11/9/2021,11/9/2021,2,bottom,env_rel,50-75,0,15,0.15
11/9/2021,11/9/2021,2,bottom,high,75-100,0,18,0.18
11/9/2021,11/9/2021,2,bottom,high,50-75,0,9,0.09
11/9/2021,11/9/2021,2,bottom,control,75-100,5,10,0.1
11/9/2021,11/9/2021,2,bottom,control,50-75,5,6,0.06
11/9/2021,11/9/2021,2,bottom,env_rel,75-100,5,8,0.08
11/9/2021,11/9/2021,2,bottom,env_rel,50-75,5,4,0.04
11/9/2021,11/9/2021,2,bottom,high,75-100,5,16,0.16
11/9/2021,11/9/2021,2,bottom,high,50-75,5,7,0.07
11/9/2021,11/9/2021,2,bottom,control,75-100,10,8,0.08
11/9/2021,11/9/2021,2,bottom,control,50-75,10,9,0.09
11/9/2021,11/9/2021,2,bottom,env_rel,75-100,10,4,0.04
11/9/2021,11/9/2021,2,bottom,env_rel,50-75,10,4,0.04
11/9/2021,11/9/2021,2,bottom,high,75-100,10,17,0.17
11/9/2021,11/9/2021,2,bottom,high,50-75,10,6,0.06
11/9/2021,11/9/2021,2,bottom,control,75-100,15,4,0.04
11/9/2021,11/9/2021,2,bottom,control,50-75,15,3,0.03
11/9/2021,11/9/2021,2,bottom,env_rel,75-100,15,8,0.08
