date_pollutant_added,date_experiment,replicate_number,part_hidden,treatment,percentile,time_min,copepod_count,proportion
11/03/2021,11/9/2021,1,bottom,control,50-75,0,25,0.25
11/03/2021,11/9/2021,1,bottom,control,75-100,0,25,0.25
11/03/2021,11/9/2021,1,bottom,control,50-75,5,17,0.17
11/03/2021,11/9/2021,1,bottom,control,75-100,5,8,0.08
11/03/2021,11/9/2021,1,bottom,control,50-75,10,11,0.11
11/03/2021,11/9/2021,1,bottom,control,75-100,10,7,0.07
11/03/2021,11/9/2021,1,bottom,control,50-75,15,10,0.1
11/03/2021,11/9/2021,1,bottom,control,75-100,15,4,0.04
11/03/2021,11/9/2021,1,bottom,control,50-75,20,8,0.08
11/03/2021,11/9/2021,1,bottom,control,75-100,20,4,0.04
11/03/2021,11/9/2021,1,bottom,control,50-75,25,8,0.08
11/03/2021,11/9/2021,1,bottom,control,75-100,25,2,0.02
11/03/2021,11/9/2021,1,bottom,control,50-75,30,6,0.06
11/03/2021,11/9/2021,1,bottom,control,75-100,30,2,0.02
11/03/2021,11/9/2021,1,bottom,env_rel,50-75,0,25,0.25
11/03/2021,11/9/2021,1,bottom,env_rel,75-100,0,25,0.25
11/03/2021,11/9/2021,1,bottom,env_rel,50-75,5,20,0.2
11/03/2021,11/9/2021,1,bottom,env_rel,75-100,5,9,0.09
11/03/2021,11/9/2021,1,bottom,env_rel,50-75,10,22,0.22
11/03/2021,11/9/2021,1,bottom,env_rel,75-100,10,5,0.05
11/03/2021,11/9/2021,1,bottom,env_rel,50-75,15,19,0.19
11/03/2021,11/9/2021,1,bottom,env_rel,75-100,15,11,0.11
11/03/2021,11/9/2021,1,bottom,env_rel,50-75,20,11,0.11
11/03/2021,11/9/2021,1,bottom,env_rel,75-100,20,4,0.04
11/03/2021,11/9/2021,1,bottom,env_rel,50-75,25,11,0.11
11/03/2021,11/9/2021,1,bottom,env_rel,75-100,25,6,0.06
11/03/2021,11/9/2021,1,bottom,env_rel,50-75,30,5,0.05
11/03/2021,11/9/2021,1,bottom,env_rel,75-100,30,4,0.04
11/03/2021,11/9/2021,1,bottom,high,50-75,0,10,0.4
11/03/2021,11/9/2021,1,bottom,high,75-100,0,10,0.4
11/03/2021,11/9/2021,1,bottom,high,50-75,5,1,0.04
11/03/2021,11/9/2021,1,bottom,high,75-100,5,3,0.12
